state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Georgia,2001-01-01,12784019.205195418,162112.69099323425,1
Georgia,2002-01-01,13625964.631138323,169178.81230611494,1
Georgia,2003-01-01,14004549.163418066,172086.6871612755,1
Georgia,2004-01-01,14263968.193272293,172098.7677277295,1
Georgia,2005-01-01,14365291.606178312,172739.54361478938,1
Georgia,2006-01-01,15185963.161379172,174500.354683809,1
Georgia,2007-01-01,16182623.796894139,175993.77757872784,1
Georgia,2008-01-01,17213838.571309675,172720.78084761163,1
Georgia,2009-01-01,17123396.563262,158188.68819298362,1
Georgia,2010-01-01,16704373.737816397,141123.89436294034,1
Georgia,2011-01-01,16155062.612520646,128184.68805840157,1
Georgia,2012-01-01,15887573.912082598,115312.53679956704,1
Georgia,2013-01-01,15489392.490039855,117881.27451021623,1
Georgia,2014-01-01,15577739.325547442,131013.01586938511,1
Georgia,2015-01-01,16036485.611454092,139598.56655077662,1
Georgia,2016-01-01,16563441.0,148872.0239731581,1
Kentucky,2000-01-01,4511423.6325721545,108658.83392129529,1
Kentucky,2001-01-01,4631054.492072516,110930.99956174486,1
Kentucky,2002-01-01,4775655.597045418,114518.73278821852,1
Kentucky,2003-01-01,4869883.9770244835,115754.91185812914,1
Kentucky,2004-01-01,4924356.945152436,116652.32379972097,1
Kentucky,2005-01-01,5369423.253747035,116863.18416959322,1
Kentucky,2006-01-01,5665447.5361209065,118315.77203958089,1
Kentucky,2007-01-01,5695421.757665511,118430.73160481638,1
Kentucky,2008-01-01,6085082.283049507,116940.25673728899,1
Kentucky,2009-01-01,6058524.685838055,115359.12960753869,1
Kentucky,2010-01-01,6271393.666975757,112569.35891317666,1
Kentucky,2011-01-01,6351424.030348105,108916.8269805619,1
Kentucky,2012-01-01,6368033.882062901,104083.9885881032,1
Kentucky,2013-01-01,6243349.15540945,104533.05867593182,1
Kentucky,2014-01-01,6117813.85312338,105678.59115219775,1
Kentucky,2015-01-01,6200535.653780968,108120.20145163195,1
Kentucky,2016-01-01,6283316.0,112452.12028559497,1
Louisiana,2000-01-01,5749510.941794539,115928.9911621342,1
Louisiana,2001-01-01,5934189.768816566,118609.7851139267,1
Louisiana,2002-01-01,6149701.419758712,122490.89990359073,1
Louisiana,2003-01-01,6342640.399879468,125654.29002322898,1
Louisiana,2004-01-01,6480643.715007338,126755.89144644923,1
Louisiana,2005-01-01,6596270.057696937,129935.5131587791,1
Louisiana,2006-01-01,6391550.142961745,136057.54958744886,1
Louisiana,2007-01-01,6791141.234699931,142659.3438294098,1
Louisiana,2008-01-01,7468081.999698741,143826.98497182157,1
Louisiana,2009-01-01,7896418.2513100095,141854.38765075695,1
Louisiana,2010-01-01,7913520.0375513565,139288.47482994612,1
Louisiana,2011-01-01,7876551.362287778,135391.4772664268,1
Louisiana,2012-01-01,8230857.06855866,129438.58362009692,1
Louisiana,2013-01-01,7233933.820897892,130080.11922444457,1
Louisiana,2014-01-01,7229375.210494104,133889.96451392843,1
Louisiana,2015-01-01,7351222.312226015,136715.47756371245,1
Louisiana,2016-01-01,7295542.0,143281.5240866796,1
Maryland,2000-01-01,7703580.434504469,191833.1764191441,1
Maryland,2001-01-01,8240114.214880437,196220.71045032045,1
Maryland,2002-01-01,8809089.042720277,208391.4602350117,1
Maryland,2003-01-01,8990697.18516496,229781.52653663402,1
Maryland,2004-01-01,9098566.645342423,256890.73118353455,1
Maryland,2005-01-01,9349687.179209068,298776.25885637174,1
Maryland,2006-01-01,9825178.652252808,349882.2336558617,1
Maryland,2007-01-01,10542232.783126995,365940.7370954186,1
Maryland,2008-01-01,11202620.79769298,347032.30980559695,1
Maryland,2009-01-01,11603032.548727507,303161.11684734334,1
Maryland,2010-01-01,11709968.214488203,271374.6856497264,1
Maryland,2011-01-01,11557330.242291262,252740.02023357694,1
Maryland,2012-01-01,11293594.561125575,236187.55797001917,1
Maryland,2013-01-01,11445784.018116612,240324.75347843656,1
Maryland,2014-01-01,11514922.019799605,251884.6697769254,1
Maryland,2015-01-01,11685969.730762212,258748.02318224678,1
Maryland,2016-01-01,10459539.0,265616.8814998597,1
Mississippi,2000-01-01,3292141.1552283172,92410.15703260584,1
Mississippi,2001-01-01,3304400.9370164103,94631.0250994209,1
Mississippi,2002-01-01,3337185.4308225783,96812.01799478279,1
Mississippi,2003-01-01,3543479.729076431,97453.49724708163,1
Mississippi,2004-01-01,3714651.009394053,97601.489564753,1
Mississippi,2005-01-01,3815497.1371534034,98648.04535433507,1
Mississippi,2006-01-01,4027087.234563731,102516.88866995514,1
Mississippi,2007-01-01,4050896.904512358,108239.21544338587,1
Mississippi,2008-01-01,4183534.8061713832,108232.46590597543,1
Mississippi,2009-01-01,4232699.149836049,103595.81744748635,1
Mississippi,2010-01-01,4207285.172070318,99432.67516086077,1
Mississippi,2011-01-01,4015651.0206522173,94859.66913682612,1
Mississippi,2012-01-01,4047955.368290575,91943.86147955377,1
Mississippi,2013-01-01,3997377.4602600066,91091.6518760164,1
Mississippi,2014-01-01,3962726.491306435,90353.73099217359,1
Mississippi,2015-01-01,4027128.073585502,95657.56431789162,1
Mississippi,2016-01-01,4077662.9999999995,112131.4008980642,1
North Carolina,2000-01-01,10097511.695193881,161706.06299855193,1
North Carolina,2001-01-01,10362366.805120256,164955.38644663992,1
North Carolina,2002-01-01,10683199.681304075,167166.70325632527,1
North Carolina,2003-01-01,10869840.682574388,167060.94992957282,1
North Carolina,2004-01-01,10968812.486719716,166318.7789938615,1
North Carolina,2005-01-01,11587246.048405955,166605.16468353843,1
North Carolina,2006-01-01,11842285.853998173,170411.464861739,1
North Carolina,2007-01-01,12630011.137352435,176006.73978489617,1
North Carolina,2008-01-01,12727557.38021514,178814.3262555777,1
North Carolina,2009-01-01,13738917.976607677,173462.59993938776,1
North Carolina,2010-01-01,13314222.477239164,164120.94586238114,1
North Carolina,2011-01-01,12700123.876548357,155315.1076798546,1
North Carolina,2012-01-01,12455756.546727585,145444.2709192967,1
North Carolina,2013-01-01,12450730.46527579,144400.30583706876,1
North Carolina,2014-01-01,12203336.595313495,146711.46556261784,1
North Carolina,2015-01-01,12574844.568221895,150419.75532898284,1
North Carolina,2016-01-01,12620939.0,157419.23549714047,1
Oklahoma,2000-01-01,4449077.402349289,95973.15966864316,1
Oklahoma,2001-01-01,4686499.048562034,98106.40770897164,1
Oklahoma,2002-01-01,4944878.630074967,100733.35219216398,1
Oklahoma,2003-01-01,4821627.1755957445,102248.99175412582,1
Oklahoma,2004-01-01,4668756.867108405,102909.32365409101,1
Oklahoma,2005-01-01,4903989.190051913,103739.97178990592,1
Oklahoma,2006-01-01,5019512.685159752,104624.65392568104,1
Oklahoma,2007-01-01,5268922.6492941845,106458.2465873376,1
Oklahoma,2008-01-01,5394028.707201222,106951.78019853265,1
Oklahoma,2009-01-01,5532315.2027785955,106346.71695205213,1
Oklahoma,2010-01-01,5628605.817575829,105493.9598148309,1
Oklahoma,2011-01-01,4975897.387543362,102028.73814918647,1
Oklahoma,2012-01-01,4980136.219391894,98374.98550591111,1
Oklahoma,2013-01-01,5052014.424956652,99544.07388432673,1
Oklahoma,2014-01-01,5044841.872905103,101609.90486268688,1
Oklahoma,2015-01-01,5007149.308806731,105656.21170095222,1
Oklahoma,2016-01-01,4958496.0,107719.28157453192,1
