state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Massachusetts,2014-01-01,13876274.029849047,313577.2480809165,1
Massachusetts,2015-01-01,14086189.852502946,324882.12801831926,1
Massachusetts,2016-01-01,13998163.0,344300.8502319888,1
New Hampshire,2000-01-01,1844904.9771809161,172654.33798503655,1
New Hampshire,2001-01-01,1947879.3673060099,188229.00618698398,1
New Hampshire,2002-01-01,2059406.153527653,212987.52742505007,1
New Hampshire,2003-01-01,2169015.761152383,236414.83214908352,1
New Hampshire,2004-01-01,2257874.6362050986,259026.29323272576,1
New Hampshire,2005-01-01,2319319.332244182,278393.86437207856,1
New Hampshire,2006-01-01,2382206.98011643,291584.212759944,1
New Hampshire,2007-01-01,2435372.365395994,280591.2276240795,1
New Hampshire,2008-01-01,2547188.871006768,265483.92587874085,1
New Hampshire,2009-01-01,2631228.7973907585,243093.75958431853,1
New Hampshire,2010-01-01,2686613.8804975315,228191.19475253878,1
New Hampshire,2011-01-01,2703811.472967169,218894.99497442594,1
New Hampshire,2012-01-01,2692455.3569893185,206429.5599642452,1
New Hampshire,2013-01-01,2667498.3008072893,205618.91015553894,1
New Hampshire,2014-01-01,2676333.66954054,211389.45924866738,1
New Hampshire,2015-01-01,2709096.943977095,217039.16123733335,1
New Hampshire,2016-01-01,2737576.0,229287.88205002187,1
New Jersey,2000-01-01,18027212.23732526,208142.0493244617,1
New Jersey,2001-01-01,18317233.26290224,221500.1321156598,1
New Jersey,2002-01-01,18712802.061362546,243821.38404719613,1
New Jersey,2003-01-01,20139408.123370424,274797.0288614141,1
New Jersey,2004-01-01,21354959.789289262,305590.0625732853,1
New Jersey,2005-01-01,22042867.351510055,341069.8152630612,1
New Jersey,2006-01-01,22654306.61711028,377125.35767810943,1
New Jersey,2007-01-01,22809212.67507763,379995.88764519105,1
New Jersey,2008-01-01,23337527.368302982,359914.17238212586,1
New Jersey,2009-01-01,23834379.345850967,327207.1967058103,1
New Jersey,2010-01-01,24614919.46849362,304833.1074607918,1
New Jersey,2011-01-01,23296563.59927136,286927.1238874864,1
New Jersey,2012-01-01,23449954.893895894,261834.83160032888,1
New Jersey,2013-01-01,24107077.739696607,259589.0657483705,1
New Jersey,2014-01-01,24864589.992861956,266462.53350457246,1
New Jersey,2015-01-01,24310605.349386923,276003.03328755865,1
New Jersey,2016-01-01,24349836.0,284537.6629899303,1
New York,2000-01-01,40204985.33496934,167712.78913491502,1
New York,2001-01-01,41613783.71217607,177140.2606221064,1
New York,2002-01-01,43234595.28706767,189756.79854349574,1
New York,2003-01-01,44726862.73116566,204238.94829798018,1
New York,2004-01-01,45825810.75465786,221392.7427996059,1
New York,2005-01-01,46754185.47161701,238417.230221544,1
New York,2006-01-01,48139102.728600934,257802.71643582196,1
New York,2007-01-01,49418457.21128971,262273.9661361735,1
New York,2008-01-01,51432607.35905446,258859.1379941054,1
New York,2009-01-01,53310409.46253678,246179.9775158664,1
New York,2010-01-01,54138146.797891006,234112.35251526165,1
