,state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
41,Arizona,2007-01-01,7791248.018624003,302106.8429125281,1
42,Arizona,2008-01-01,8251364.300906809,271320.459970747,1
43,Arizona,2009-01-01,8386651.764543419,203031.02754513692,1
44,Arizona,2010-01-01,8123622.65611025,172025.84093248905,1
45,Arizona,2011-01-01,7644123.195224449,150946.21576198077,1
46,Arizona,2012-01-01,7366383.59734924,138341.38972803063,1
47,Arizona,2013-01-01,6936886.03534609,160873.90352147323,1
48,Arizona,2014-01-01,7207825.020361255,182946.82456374465,1
49,Arizona,2015-01-01,7096546.296078591,189538.22829939137,1
50,Arizona,2016-01-01,7137123.0,204881.7902859564,1
51,Arkansas,2000-01-01,3149664.332665105,95373.31579562752,1
52,Arkansas,2001-01-01,3248692.6365210256,97468.49119754074,1
53,Arkansas,2002-01-01,3364678.040150988,99242.28991606933,1
54,Arkansas,2003-01-01,3509941.3288684394,101059.50629129467,1
55,Arkansas,2004-01-01,3623070.7856128886,103139.84297686872,1
56,Arkansas,2005-01-01,3988073.8260336365,106422.53358443388,1
57,Arkansas,2006-01-01,4142189.840503021,111848.44765836354,1
58,Arkansas,2007-01-01,4244922.10852006,114150.8506064925,1
59,Arkansas,2008-01-01,4307304.559544778,113112.85831192147,1
60,Arkansas,2009-01-01,4661481.967687339,110359.02734179157,1
61,Arkansas,2010-01-01,4926248.264215514,105811.04800078893,1
62,Arkansas,2011-01-01,4964915.553859151,101630.74971668016,1
63,Arkansas,2012-01-01,4463225.606455639,98481.18535138413,1
64,Arkansas,2013-01-01,4387937.903094081,100546.56591604778,1
65,Arkansas,2014-01-01,4385819.206414059,101616.19289027154,1
66,Arkansas,2015-01-01,4398893.910433936,104349.64542535388,1
67,Arkansas,2016-01-01,4411761.0,109245.5736005382,1
68,California,2000-01-01,49680316.75236214,252442.41485940706,1
69,California,2001-01-01,54373024.23428767,279126.6680049308,1
70,California,2002-01-01,59237107.87770415,308682.55812099896,1
71,California,2003-01-01,60319588.94226257,348674.12619059306,1
72,California,2004-01-01,60913473.7793219,396963.407474092,1
73,California,2005-01-01,61257563.56365611,480689.1948279173,1
74,California,2006-01-01,62142892.4612518,545925.1831416007,1
75,California,2007-01-01,65353718.87584889,541365.8054940918,1
76,California,2008-01-01,67302416.69705597,477666.5852105564,1
77,California,2009-01-01,65937781.248877466,359866.2141051596,1
78,California,2010-01-01,62790461.57223887,331430.210755393,1
79,California,2011-01-01,60321589.1195379,317220.6969743692,1
80,California,2012-01-01,60323143.16795439,292022.63453623967,1
81,California,2013-01-01,59279640.14239042,314447.325757933,1
82,California,2014-01-01,60232345.826938,374282.89628365,1
83,California,2015-01-01,65200239.68273288,403760.768039681,1
84,California,2016-01-01,68892072.0,421547.3195172169,1
85,Colorado,2000-01-01,5623373.832258108,234337.83375664952,1
86,Colorado,2001-01-01,5946982.015774467,256056.5395111573,1
87,Colorado,2002-01-01,6296359.55470607,274397.4968941147,1
88,Colorado,2003-01-01,6524442.921035935,277463.44992235873,1
89,Colorado,2004-01-01,6694683.605217199,273870.445208874,1
90,Colorado,2005-01-01,6837204.825709931,272433.00437647715,1
91,Colorado,2006-01-01,7069334.530065423,272067.9094488698,1
92,Colorado,2007-01-01,7062278.419828754,267174.1995473847,1
93,Colorado,2008-01-01,7713414.17203938,259914.80140689356,1
94,Colorado,2009-01-01,7526511.17077782,247266.62450777748,1
95,Colorado,2010-01-01,7663392.374805698,241528.81195928447,1
96,Colorado,2011-01-01,7464370.128601689,230004.23459381514,1
97,Colorado,2012-01-01,7237199.033128961,220396.61673081468,1
98,Colorado,2013-01-01,7286005.151880198,232563.93147239336,1
99,Colorado,2014-01-01,7554960.073594237,248191.17220494253,1
100,Colorado,2015-01-01,7766631.196073367,269301.4901593457,1
101,Colorado,2016-01-01,8060420.0,302941.4248126024,1
102,Connecticut,2000-01-01,6387389.92040861,216175.25783374818,1
103,Connecticut,2001-01-01,6662703.726890036,228055.14578174567,1
104,Connecticut,2002-01-01,6970119.666964382,246753.91230049377,1
105,Connecticut,2003-01-01,7187721.829991549,270795.5472459236,1
106,Connecticut,2004-01-01,7343115.758270392,294958.33242287405,1
107,Connecticut,2005-01-01,7408143.238624626,322475.76294276456,1
108,Connecticut,2006-01-01,7666828.076957619,348681.7653586351,1
109,Connecticut,2007-01-01,7870292.364813775,346734.5555959786,1
110,Connecticut,2008-01-01,8129152.336553686,331429.4526973497,1
111,Connecticut,2009-01-01,8635513.560642015,302385.8135043336,1
112,Connecticut,2010-01-01,8703586.107151484,279192.55072656774,1
113,Connecticut,2011-01-01,8403752.627260417,264082.1072044435,1
114,Connecticut,2012-01-01,8351809.780697819,242740.3763381631,1
115,Connecticut,2013-01-01,8323853.796541337,236045.47387409306,1
116,Connecticut,2014-01-01,8477689.73890668,238899.40491111384,1
117,Connecticut,2015-01-01,8595713.74611604,238939.3711198085,1
118,Connecticut,2016-01-01,8687640.0,241392.90722897317,1
119,Delaware,2000-01-01,1240442.6564265427,183415.78400361663,1
120,Delaware,2001-01-01,1292199.8406013192,189416.018556502,1
121,Delaware,2002-01-01,1350242.4717781737,197819.55944159575,1
122,Delaware,2003-01-01,1414001.8346934575,209690.47092377927,1
123,Delaware,2004-01-01,1464579.4240190063,225730.11513110183,1
124,Delaware,2005-01-01,1528374.4613891523,253387.75334945813,1
125,Delaware,2006-01-01,1607673.6192922147,277648.456758576,1
126,Delaware,2007-01-01,1549345.8864019818,288105.1350478148,1
127,Delaware,2008-01-01,1635011.0074060499,281681.37166672415,1
128,Delaware,2009-01-01,1598659.4863834106,261244.72697879863,1
129,Delaware,2010-01-01,1609317.7315699507,245118.96555950024,1
130,Delaware,2011-01-01,1653316.9462201572,230390.90755104122,1
131,Delaware,2012-01-01,1770008.9221062164,210557.01997071915,1
132,Delaware,2013-01-01,1740480.6268540935,204830.27156052057,1
133,Delaware,2014-01-01,1755927.8543167424,212233.45921982062,1
134,Delaware,2015-01-01,1782574.5496130453,217708.73829008732,1
135,Delaware,2016-01-01,1832384.9999999998,227460.99627875528,1
136,District of Columbia,2000-01-01,1104897.7101287355,203641.28881739915,1
137,District of Columbia,2001-01-01,1207013.1774000046,215039.0738070003,1
138,District of Columbia,2002-01-01,1313007.975677249,239428.3111184242,1
139,District of Columbia,2003-01-01,1375156.3125080343,274740.9873612193,1
140,District of Columbia,2004-01-01,1424478.647224924,309592.2074003922,1
141,District of Columbia,2005-01-01,1466684.3431652752,362910.0681764386,1
142,District of Columbia,2006-01-01,1464729.337500107,417141.0820491725,1
143,District of Columbia,2007-01-01,1410829.6666728978,413352.8958593063,1
144,District of Columbia,2008-01-01,1827348.1155998318,409280.67904397275,1
145,District of Columbia,2009-01-01,1942534.3417961877,385421.2116100913,1
146,District of Columbia,2010-01-01,2085475.1238067648,366306.4886104732,1
147,District of Columbia,2011-01-01,2003187.7187687405,363624.53400937223,1
148,District of Columbia,2012-01-01,2095345.251060796,353402.36712889763,1
149,District of Columbia,2013-01-01,2085416.9524168053,380470.9735868247,1
150,District of Columbia,2014-01-01,2099688.326297206,422244.835174668,1
151,District of Columbia,2015-01-01,2173622.7148636156,451592.9211815488,1
152,District of Columbia,2016-01-01,2290288.0,480270.20751080447,1
153,Florida,2000-01-01,17964447.24859486,140498.19192921562,1
154,Florida,2001-01-01,18575748.775788005,146458.56348065275,1
155,Florida,2002-01-01,19282340.297758386,158542.18232544156,1
156,Florida,2003-01-01,20402191.925358787,171641.11925702496,1
157,Florida,2004-01-01,21322872.687121794,188111.06790539096,1
158,Florida,2005-01-01,22456778.789385673,215259.70501347093,1
159,Florida,2006-01-01,23608536.068969898,266351.5415752141,1
160,Florida,2007-01-01,25201765.976356413,281530.0395581858,1
161,Florida,2008-01-01,25914979.454762522,243573.1279037606,1
162,Florida,2009-01-01,24923413.013830584,190457.46952672623,1
163,Florida,2010-01-01,24565100.653021142,159431.61133996685,1
164,Florida,2011-01-01,24726052.57069251,144216.7923762979,1
165,Florida,2012-01-01,22944067.666694477,132116.52193878748,1
166,Florida,2013-01-01,22879365.717826728,138720.66362858744,1
167,Florida,2014-01-01,23612051.11711967,157329.08540297102,1
168,Florida,2015-01-01,24053837.577851053,171165.41316398236,1
169,Florida,2016-01-01,24222830.0,186698.27752433447,1
170,Georgia,2000-01-01,11993971.400994258,154471.56587492515,1
171,Georgia,2001-01-01,12784019.205195418,162112.69099323425,1
172,Georgia,2002-01-01,13625964.631138323,169178.81230611494,1
173,Georgia,2003-01-01,14004549.163418066,172086.6871612755,1
174,Georgia,2004-01-01,14263968.193272293,172098.7677277295,1
175,Georgia,2005-01-01,14365291.606178312,172739.54361478938,1
176,Georgia,2006-01-01,15185963.161379172,174500.354683809,1
177,Georgia,2007-01-01,16182623.796894139,175993.77757872784,1
178,Georgia,2008-01-01,17213838.571309675,172720.78084761163,1
179,Georgia,2009-01-01,17123396.563262,158188.68819298362,1
180,Georgia,2010-01-01,16704373.737816397,141123.89436294034,1
181,Georgia,2011-01-01,16155062.612520646,128184.68805840157,1
182,Georgia,2012-01-01,15887573.912082598,115312.53679956704,1
183,Georgia,2013-01-01,15489392.490039855,117881.27451021623,1
184,Georgia,2014-01-01,15577739.325547442,131013.01586938511,1
