state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Hawaii,2004-01-01,1954226.1603570434,318782.58208549453,1
Hawaii,2005-01-01,1940864.818795607,385202.66760369355,1
Hawaii,2006-01-01,2047826.7064988045,470447.8471893665,1
Hawaii,2007-01-01,2218159.921949636,493919.13098126627,1
Hawaii,2008-01-01,2283415.2092363555,481480.8291866004,1
Hawaii,2009-01-01,2384669.3298281995,451910.20824678754,1
Hawaii,2010-01-01,2043496.1634220993,407303.4515389094,1
Hawaii,2011-01-01,1871097.6415387192,415466.9429558473,1
Hawaii,2012-01-01,1765621.7731936183,394320.3891319188,1
Hawaii,2013-01-01,1735048.7142062695,403625.3790394967,1
Hawaii,2014-01-01,1928505.8574099739,432578.4877124965,1
Hawaii,2015-01-01,1790382.0190252562,478600.46242534975,1
Hawaii,2016-01-01,1843481.0000000002,507857.2039718676,1
Idaho,2000-01-01,1662808.7210655794,158855.7191578179,1
Idaho,2001-01-01,1763627.0095996985,159257.89071370347,1
Idaho,2002-01-01,1871907.784615679,163086.62332975082,1
Idaho,2003-01-01,1872955.9076431189,163776.3611542154,1
Idaho,2004-01-01,1860296.67115268,164276.74535511184,1
Idaho,2005-01-01,1892556.5416563556,169125.42684068554,1
Idaho,2006-01-01,1911802.108617235,198538.14692789354,1
Idaho,2007-01-01,1946242.029374294,216031.60644833924,1
Idaho,2008-01-01,2012521.1861497038,216147.7972778633,1
Idaho,2009-01-01,2073791.5493690835,200695.7281429961,1
Idaho,2010-01-01,2043720.473441442,175891.2208178053,1
Idaho,2011-01-01,1915260.878342934,154645.6878955141,1
Idaho,2012-01-01,1844518.5504808195,144303.91140165317,1
Idaho,2013-01-01,1885396.4077659727,155713.1404814075,1
Idaho,2014-01-01,1868180.6269481494,169755.01330009746,1
Idaho,2015-01-01,1883945.3992322637,176661.09782968994,1
Idaho,2016-01-01,1935653.0,189176.26739059185,1
Montana,2006-01-01,1403864.72154162,183150.3753809779,1
Montana,2007-01-01,1453288.053080899,193888.6893964956,1
Montana,2008-01-01,1493909.591288064,197778.92553990654,1
Montana,2009-01-01,1529224.6405681968,195985.83773117076,1
Montana,2010-01-01,1584356.6445645473,186521.8897247584,1
Montana,2011-01-01,1570694.1321858226,178182.72303023565,1
Montana,2012-01-01,1523723.7507090818,171767.34538029457,1
Montana,2013-01-01,1524939.5894932454,179417.24947974336,1
Montana,2014-01-01,1567054.3370373747,186556.50798141662,1
Montana,2015-01-01,1562673.58804032,195789.25463614272,1
Montana,2016-01-01,1598517.0,212136.17454666423,1
Nevada,2000-01-01,2435671.5908897016,209549.28206797782,1
Nevada,2001-01-01,2563783.9123018766,213492.10606098763,1
Nevada,2002-01-01,2703427.7372163637,224309.59522553516,1
Nevada,2003-01-01,2845305.885238102,234426.10475005762,1
Nevada,2004-01-01,2960049.5073374324,259035.4443073868,1
Nevada,2005-01-01,3138491.259799209,347030.2771342256,1
Nevada,2006-01-01,3429401.441667584,386569.29162194586,1
Nevada,2007-01-01,3736792.2751960787,378288.95005878486,1
Nevada,2008-01-01,3868729.2751876395,323535.5362341902,1
Nevada,2009-01-01,3915988.210273063,227330.8589460772,1
Nevada,2010-01-01,3927590.3700103,170495.13987511516,1
Nevada,2011-01-01,3924172.7230751757,154985.54226506775,1
Nevada,2012-01-01,3702843.5611572997,136827.2947865886,1
Nevada,2013-01-01,3719404.240740499,149474.54426198054,1
Nevada,2014-01-01,3722089.6723597986,188628.11330577798,1
Nevada,2015-01-01,3806139.3184090317,204558.0854204459,1
Nevada,2016-01-01,3944218.0,222606.8248584892,1
New Mexico,2003-01-01,2837384.2346375957,162960.62109235243,1
New Mexico,2004-01-01,2926602.697702214,164875.87445071948,1
New Mexico,2005-01-01,2963556.9790862044,169546.78857860967,1
New Mexico,2006-01-01,3067864.075528286,182549.29266005868,1
New Mexico,2007-01-01,3177975.8098764387,200186.9436441043,1
New Mexico,2008-01-01,3288765.8788180575,202604.15286464925,1
New Mexico,2009-01-01,3398705.396868555,191955.7861064761,1
New Mexico,2010-01-01,3367818.1193866795,182783.67147047096,1
New Mexico,2011-01-01,3193683.1208406086,169055.04253791345,1
New Mexico,2012-01-01,3042909.1444326555,159954.14155051406,1
New Mexico,2013-01-01,3015298.6690823413,159986.4911967871,1
New Mexico,2014-01-01,2952961.6012955573,158117.93581086196,1
New Mexico,2015-01-01,3163238.14826681,159870.76936891166,1
New Mexico,2016-01-01,3049749.0,162919.41483355415,1
Oregon,2000-01-01,4996717.310604705,198255.62563629923,1
Oregon,2001-01-01,5169064.431757906,200850.16448920147,1
Oregon,2002-01-01,5367843.557061318,205442.0701253987,1
Oregon,2003-01-01,5242047.985285107,210786.91219298588,1
Oregon,2004-01-01,5083682.007452868,218284.0045567044,1
Oregon,2005-01-01,5297313.08715105,233232.8993405614,1
Oregon,2006-01-01,5456424.551628981,270363.9521470314,1
Oregon,2007-01-01,5627645.165733106,298313.526975063,1
Oregon,2008-01-01,5942853.121752935,296121.0996824091,1
Oregon,2009-01-01,6064575.948563512,268860.3103040777,1
Oregon,2010-01-01,5872892.623347226,243049.88832992577,1
Oregon,2011-01-01,5792135.77549952,222178.93858576598,1
Oregon,2012-01-01,5663254.1116308095,202307.8480080334,1
Oregon,2013-01-01,5586249.840647985,208574.24329322003,1
Oregon,2014-01-01,5762051.5829458535,228187.59309260923,1
Oregon,2015-01-01,6051509.950111693,244840.21166698134,1
Oregon,2016-01-01,6285584.0,272978.2754183557,1
Utah,2000-01-01,2816144.1871040133,223580.29803956565,1
Utah,2001-01-01,2936085.7461909177,228994.17906167032,1
Utah,2002-01-01,3070225.1080487897,228216.7873525364,1
Utah,2003-01-01,3073989.476903189,222950.37756788448,1
Utah,2004-01-01,3055165.4690526105,219187.72425501794,1
Utah,2005-01-01,3113763.7345947037,215099.42080172908,1
Utah,2006-01-01,3174562.9521850673,220364.8655423512,1
Utah,2007-01-01,3280467.6313203718,249301.68021787863,1
Utah,2008-01-01,3608699.4586327323,272295.3842140921,1
Utah,2009-01-01,3786365.66708849,249061.28579905126,1
Utah,2010-01-01,3459431.169345545,225662.9980448454,1
Utah,2011-01-01,3669718.4122968153,205490.8189166386,1
Utah,2012-01-01,3662824.176993621,191840.25487533078,1
Utah,2013-01-01,3821586.966364227,205312.71959183246,1
Utah,2014-01-01,3759218.227156257,222312.63512062488,1
