state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Kansas,2012-01-01,4530387.368406129,100185.69140431494,1
Kansas,2013-01-01,4563657.731204506,102968.94550351783,1
Kansas,2014-01-01,4574321.3973403685,105300.34292852454,1
Kansas,2015-01-01,4591643.462855425,109791.98265776786,1
Kansas,2016-01-01,4532902.0,115878.1581535433,1
Michigan,2000-01-01,17550060.63409282,136982.4257975811,1
Michigan,2001-01-01,17388299.041958824,143343.2566901141,1
Michigan,2002-01-01,17342923.130071174,149064.3312586076,1
Michigan,2003-01-01,18590475.87978126,151540.66110733236,1
Michigan,2004-01-01,19646325.96090289,153511.7033100701,1
Michigan,2005-01-01,19440226.142735142,154114.47293486417,1
Michigan,2006-01-01,17529771.346669666,152695.7391257133,1
Michigan,2007-01-01,19098123.252203435,145816.5943349976,1
Michigan,2008-01-01,18034917.69454087,133358.24496819742,1
Michigan,2009-01-01,18037570.103728604,114361.8521749051,1
Michigan,2010-01-01,17794134.486642364,98126.4236364809,1
Michigan,2011-01-01,16876837.84158157,91547.4598048629,1
Michigan,2012-01-01,16115456.109347444,86124.52178433686,1
Michigan,2013-01-01,15508438.997598555,91911.09183077469,1
Michigan,2014-01-01,15230467.575250423,103186.80931441934,1
Michigan,2015-01-01,15365701.776293308,110830.47375582877,1
Michigan,2016-01-01,15328154.999999998,119104.5232430197,1
Minnesota,2000-01-01,8194083.522578899,155940.33438626782,1
Minnesota,2001-01-01,8152125.768621829,171106.00849038147,1
Minnesota,2002-01-01,8163477.9589526765,190129.90815943296,1
Minnesota,2003-01-01,8342587.149322077,202941.09924827085,1
Minnesota,2004-01-01,8452797.823965292,213992.63021463525,1
Minnesota,2005-01-01,8519772.560012149,223586.081955381,1
Minnesota,2006-01-01,8672731.84800144,229382.3740747712,1
Minnesota,2007-01-01,8831092.126744816,223925.05919040472,1
Minnesota,2008-01-01,9077465.081914352,211213.13584924932,1
Minnesota,2009-01-01,9848027.261647226,189864.42808805537,1
Minnesota,2010-01-01,9337310.292387476,176773.75522350083,1
Minnesota,2011-01-01,9140030.986161875,165272.56533082348,1
Minnesota,2012-01-01,9046165.710691156,149867.1539629627,1
Minnesota,2013-01-01,9170829.998146974,159983.92920672137,1
Minnesota,2014-01-01,9341612.123244526,172676.96408533474,1
Minnesota,2015-01-01,9674996.905195467,179116.6979588123,1
Minnesota,2016-01-01,9987116.0,190394.0208200733,1
Missouri,2000-01-01,7355066.295003897,117372.99047754992,1
Missouri,2001-01-01,7731249.975863427,122290.64573018595,1
Missouri,2002-01-01,8142583.471462423,128808.28558124595,1
